Date, RequestTime, ResponseTime,MethodName,TimeDifference
04/06/2022, 05:54:3.719, 05:54:13.588,nglOrderAPI_createOrder_668,9.86922
04/06/2022, 05:54:3.844, 05:54:13.635,nglOrderAPI_createOrder_669,9.79122
04/06/2022, 05:54:3.111, 05:54:13.744,nglOrderAPI_createOrder_670,10.63362
04/06/2022, 05:54:5.234, 05:54:13.869,nglOrderAPI_createOrder_671,8.63482
04/06/2022, 05:54:3.64, 05:54:14.100,nglOrderAPI_createOrder_672,11.03562
04/06/2022, 05:54:3.95, 05:54:14.943,nglOrderAPI_createOrder_673,11.84782
04/06/2022, 05:54:3.376, 05:54:14.974,nglOrderAPI_createOrder_674,11.59822
04/06/2022, 05:54:3.158, 05:54:15.5,nglOrderAPI_createOrder_675,11.84782
04/06/2022, 05:54:5.484, 05:54:15.37,nglOrderAPI_createOrder_676,9.55262
04/06/2022, 05:54:3.970, 05:54:15.99,nglOrderAPI_createOrder_677,11.12922
04/06/2022, 05:54:3.610, 05:54:15.115,nglOrderAPI_createOrder_678,11.50462
04/06/2022, 05:54:3.345, 05:54:15.115,nglOrderAPI_createOrder_679,11.76982
04/06/2022, 05:54:6.937, 05:54:15.115,nglOrderAPI_createOrder_681,8.17782
04/06/2022, 05:54:3.610, 05:54:15.115,nglOrderAPI_createOrder_680,11.50462
04/06/2022, 05:54:7.732, 05:54:15.130,nglOrderAPI_createOrder_682,7.39781
04/06/2022, 05:54:4.985, 05:54:15.130,nglOrderAPI_createOrder_683,10.14542
04/06/2022, 05:54:3.704, 05:54:15.224,nglOrderAPI_createOrder_684,11.52022
04/06/2022, 05:54:8.872, 05:54:16.566,nglOrderAPI_createOrder_685,7.69421
04/06/2022, 05:54:8.264, 05:54:16.676,nglOrderAPI_createOrder_686,8.41182
04/06/2022, 05:54:8.951, 05:54:17.113,nglOrderAPI_createOrder_687,8.16222
04/06/2022, 05:54:8.951, 05:54:17.285,nglOrderAPI_createOrder_688,8.33382
04/06/2022, 05:54:9.123, 05:54:17.379,nglOrderAPI_createOrder_689,8.25582
04/06/2022, 05:54:9.872, 05:54:17.753,nglOrderAPI_createOrder_690,7.88141
04/06/2022, 05:54:10.278, 05:54:17.769,nglOrderAPI_createOrder_691,7.49041
04/06/2022, 05:54:9.216, 05:54:18.253,nglOrderAPI_createOrder_692,9.03682
04/06/2022, 05:54:13.464, 05:54:18.316,nglOrderAPI_createOrder_693,4.85201
04/06/2022, 05:54:10.138, 05:54:18.518,nglOrderAPI_createOrder_694,8.38062
04/06/2022, 05:54:13.510, 05:54:19.502,nglOrderAPI_createOrder_695,5.99181
04/06/2022, 05:54:12.573, 05:54:19.518,nglOrderAPI_createOrder_696,6.94441
04/06/2022, 05:54:13.651, 05:54:20.440,nglOrderAPI_createOrder_697,6.78941
